"spacing_norm","irregular_letter_ratio","baseline_norm","height_inconsistency_norm","skew_angle","label"
1.2104922279792745,0.10112359550561797,0.03589539501294907,0.12877693460350778,3.1047952462118844,"dyslexic"
1.0505836575875487,0.6,0.12207477265658333,0.4754703540850804,17.080233571891384,"dyslexic"
0.9100979974435449,0.14606741573033707,0.08096624315353793,0.15324525923167495,19.46256560936368,"dyslexic"
1.0686025408348456,0.25,0.030921068501127993,0.21348166593791645,4.543026912518194,"dyslexic"
0.7600884466556108,0.17424242424242425,0.025125284876617738,0.2535374709999281,-49.09245545406252,"dyslexic"
1.1377764494919307,0.1111111111111111,0.13039465187195184,0.16053938409680668,-6.009005957494525,"dyslexic"
0.4246575342465753,0,0.000051095498763916416,0.01186336169567724,-3.3664606634298013,"dyslexic"
1.3978798586572438,0.0377906976744186,0.23022865434267523,0.1419034814043911,22.21759426951831,"dyslexic"
1.2302369926450558,0.014957264957264958,0.04838036685617768,0.09071020079948951,-12.690874797075804,"dyslexic"
0.9795774647887324,0,0.010753330680211823,0.039491912947542784,-8.190861376463381,"dyslexic"
0.8083751927189535,0.16279069767441862,0.05657061197048384,0.21994762306469479,13.60782964549706,"dyslexic"
1.5348367553012452,0.058333333333333334,0.10845208512668404,0.12656700904158077,18.928663057427293,"dyslexic"
1.4361789733735932,0.23853211009174313,0.019852331024224717,0.291100633675297,12.933264999110683,"dyslexic"
0.8496716127462904,0.13226452905811623,0.21835822527785917,0.15540585933764903,-25.578505494608812,"dyslexic"
1.637956204379562,0.37058823529411766,0.07553149148840357,0.36158553526475096,-16.827694733926453,"dyslexic"
1.3130085191921126,0.06553911205073996,0.34259949480141233,0.14280367258772697,10.24856379579558,"dyslexic"
0.9069767441860466,0,0.09937390513885465,0.13865029683853058,28.221545061383605,"dyslexic"
1.2574679943100995,0.2692307692307692,0.2698683131858031,0.15074880863434617,-33.87589102421777,"dyslexic"
2.075742067553736,0.11538461538461539,0.12646399790083143,0.15245958313765615,5.972295547965294,"dyslexic"
2.043183220234423,0.25,0.13678867859362678,0.23398364584026043,4.361572645020596,"dyslexic"
1.7253218884120172,0.32338308457711445,0.14424462839799634,0.3039100640031328,-25.61309410832396,"dyslexic"
0.905747752655952,0.022857142857142857,0.08238549218540202,0.10798183377937508,-2.456222047624605,"dyslexic"
1.5721925133689838,0.2689075630252101,0.08241006846034803,0.23455659528013076,5.072132872514503,"dyslexic"
1.779455378808304,0.3090909090909091,0.13911727745799607,0.30515056030259635,-25.61309410832396,"dyslexic"
1.1466165413533833,0.22540983606557377,0.2555354199352459,0.20879050785807324,-22.09913314366273,"dyslexic"
0.8345021037868163,0,0.10876578924012627,0.09264627453855256,9.809302247879007,"dyslexic"
1.4543784445805266,0.232,0.24720805344014177,0.20396237788999935,18.597720485915143,"dyslexic"
1.1263803680981594,0.5215686274509804,0.14583098222056157,0.2602592534268796,6.952957468173915,"dyslexic"
1.086074177746676,0.711340206185567,0.08795772105131149,0.38402835406728825,6.2168573237258595,"dyslexic"
2.0197486535008977,0.043478260869565216,0.09217191080892025,0.3512253687879018,13.010466246425946,"dyslexic"
1.5832591273374887,0.2204724409448819,0.19330871894307358,0.21959478827553358,25.492795472803092,"dyslexic"
1.4772727272727273,0.1282051282051282,0.20435408380237804,0.18673000245530286,24.81876955679235,"dyslexic"
0.9499460625674218,0.10424710424710425,0.28748454346234315,0.14837904385892559,9.035598870368046,"dyslexic"
